Shadertoy ID,Shader Autor,Shader Name,Category,Fuse Name,Ported by,Issue
"stXyWN","NuSan","OMZG Shader Royale","ShaderOfTheWeek","OMZGShaderRoyale","JiPi","macOS_Metal compatibility not checked"
"fsXcR8","iapafoto","On the salt lake","ShaderOfTheWeek","OnTheSal","JiPi","macOS_Metal compatibility not checked"
"WtscW4","blackle","@Party Concert Visuals 2020","ShaderOfTheWeek","PartyConcertVisuals2020","JiPi","macOS_Metal compatibility not checked"
"WdBcRh","bpfarrell","Pig Squad 9 Year Anniversary","ShaderOfTheWeek","PigSquad","JiPi","macOS_Metal compatibility not checked"
"MlSBDt","patu","RME4 - Crater","ShaderOfTheWeek","RME4Crater","JiPi","macOS_OpenCL compatibility not checked"
"tls3WB","ShnitzelKiller","Recursive Donut","ShaderOfTheWeek","RecursiveDonut","JiPi","macOS_Metal compatibility not checked"
"flcSW2","drschizzo","simple refraction test","ShaderOfTheWeek","SimpleRefractionTest","JiPi","macOS_Metal compatibility not checked"
"wdjSRc","drschizzo","SimpleSphereRaymarching","ShaderOfTheWeek","SimpleSphereRaymarching","JiPi",""
"NlsBzn","A_Toaster","Space ship","ShaderOfTheWeek","SpaceShip","JiPi","macOS_Metal compatibility not checked"
"Ns3XWf","Tater","Spiraled Layers","ShaderOfTheWeek","SpiraledLayers","JiPi",""
"4tGfz3","kuvkar","StarGazingHippo","ShaderOfTheWeek","StarGazingHippo","JiPi","macOS_Metal compatibility not checked"
"stBcW1","mrange","Stars and galaxy","ShaderOfTheWeek","StarsAndGalaxy","JiPi","macOS_Metal compatibility not checked"
"NddSWs","leon","Taste Of Noise 7","ShaderOfTheWeek","TasteOfNoise7","JiPi",""
"NsdXDs","Xor","Terraform","ShaderOfTheWeek","Terraform","JiPi","macOS_Metal compatibility not checked"
"fslcDS","Tater","Trippy Triangle","ShaderOfTheWeek","TrippyTriangle","JiPi","macOS_Metal compatibility not checked"
"7lKSWW","mrange","Truchet + Kaleidoscope FTW","ShaderOfTheWeek","TruchetKaleidoscopeFTW","JiPi","macOS_Metal compatibility not checked"
"sltGRj","SnoopethDuckDuck","Twizzly Circle Mess","ShaderOfTheWeek","TwizzlyCircleMess","JiPi","macOS_Metal compatibility not checked"
"WlXXDH","fizzer","Undulating Columns","ShaderOfTheWeek","UndulatingColumns","JiPi","macOS_Metal compatibility not checked"
"NtcyDn","mrange","Wednesday messing around","ShaderOfTheWeek","WednesdayMessingAround","JiPi","macOS_Metal compatibility not checked"
"wdjSRc","spsherk_","craziness","Simple","Crazyness","nmbr73",""
"XtGfzw","iq","Cross - distance","Simple","CrossDistance","nmbr73",""
"lljSDy","FabriceNeyret2","quadtree 3","Simple","Quadtree3","nmbr73","macOS_OpenCL compatibility not checked"
"Ms3SzB","FabriceNeyret2","rosace 3c","Simple","Rosace3C","nmbr73","macOS_OpenCL compatibility not checked"
"stjSRV","conceptblend","Shattered light","Simple","ShatteredLight","nmbr73",""
"WlsSzM","104","Stained Lights","Simple","StainedLights","nmbr73",""
"XsX3z8","XT95","Video filters","Simple","VideoFilters","nmbr73","macOS_OpenCL compatibility not checked"
"XsKcDG","hisojarvi","Try not to hit the walls","Tunnel","TNTHTW","JiPi",""
"lsdXD8","zackpudil","Velocibox","Tunnel","Velocibox","nmbr73",""
"4scXzn","Shane","WindingMengerTunnel","Tunnel","WindingMengerTunnel","JiPi",""
"XsVGzK","RobotPenguin","HappyValentinesDay","Wedding","HappyValentinesDay","JiPi","macOS_Metal compatibility not checked"
"lts3RX","mattz","heart u 2015","Wedding","HeartU2015","JiPi","macOS_Metal compatibility not checked"
"wttXD7","17dpn01","Heart Demo","Wedding","Heartdemo","JiPi",""
"ltdfR7","PianiGiani","Nematomorpha","Wedding","Nematomorpha","JiPi","macOS_Metal compatibility not checked"
"fsffW4","Mipmap","Valentwine","Wedding","Valentwine","JiPi","macOS_Metal compatibility not checked"
